pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
5063,42,1,4,6,6,6,6,6,6,6,4
5064,22,2,7,7,7,5,4,4,7,5,5
5065,39,2,7,4,7,4,5,4,6,5,5
5091,64,1,7,7,7,7,7,7,7,7,7
5092,21,1,7,7,6,6,6,7,5,6,7
5093,47,1,7,7,7,7,7,5,7,7,7
5094,21,2,6,7,7,6,6,3,5,6,5
5095,21,2,7,7,7,7,7,7,7,7,7
5096,18,1,7,7,7,7,7,7,7,7,7
5097,54,1,7,7,7,7,7,7,7,7,7
5098,26,2,7,7,7,7,7,7,7,7,7
5099,25,2,7,6,7,7,6,6,6,7,7
5100,37,1,7,7,7,7,7,7,7,7,7
5101,27,2,7,4,7,7,7,4,4,7,4
5102,32,2,5,7,6,7,4,5,6,6,7
5103,31,2,5,7,5,6,7,7,7,7,6
5104,23,1,7,7,7,7,7,7,7,7,7
5105,37,2,6,7,7,7,6,6,7,7,7
5106,20,1,4,5,5,6,4,3,4,5,4
5107,52,2,7,7,7,7,7,7,7,7,7
5108,30,2,7,7,7,7,7,7,7,7,7
5109,20,2,7,7,7,7,7,7,7,7,7
5111,29,2,7,7,7,7,7,7,7,7,7
5112,24,2,7,7,7,7,7,7,7,7,7
5113,30,2,7,6,7,7,6,5,6,6,7
5117,49,1,7,7,7,7,7,7,7,7,7
5118,30,2,7,7,7,7,7,7,7,7,7
5119,59,1,7,7,7,7,7,7,7,7,7
5126,49,2,7,4,7,7,5,7,7,7,7
5127,42,1,7,7,7,4,6,6,7,6,4
5128,41,2,7,7,7,7,7,6,6,7,6
5129,41,1,7,7,6,7,7,6,7,7,7
5130,67,1,7,7,7,7,7,5,7,7,5
5131,22,1,7,7,7,7,7,6,6,7,7
5132,50,2,7,7,7,7,7,6,6,6,7
5133,62,2,7,7,7,7,7,6,7,7,7
5134,31,1,7,7,7,7,7,7,7,7,7
5135,26,2,7,7,7,7,7,6,7,7,7
5136,21,2,7,7,7,7,7,7,7,7,7
5137,30,2,7,7,7,6,6,6,7,7,6
5138,50,2,7,7,7,7,7,7,7,7,7
5139,28,2,7,7,7,7,6,5,5,7,7
5141,48,2,7,7,7,7,7,5,6,7,3
5146,20,2,6,6,7,6,5,5,5,6,4
5147,72,1,7,6,7,7,6,6,6,7,5
5148,46,2,7,7,7,7,7,6,7,7,7
5149,34,2,7,7,7,7,7,7,7,7,7
5150,39,1,7,7,7,7,7,7,7,7,7
5151,23,1,7,7,7,7,7,7,7,7,7
5152,52,2,7,7,7,7,7,7,7,7,1
5153,34,2,7,6,7,7,7,6,6,7,6
5154,48,2,7,7,6,7,6,5,7,7,7
5155,38,2,7,7,7,7,6,6,6,7,7
5156,31,1,7,7,7,7,7,7,7,7,4
5157,37,2,7,7,7,7,6,7,6,7,7
5158,45,2,7,7,7,7,7,5,5,7,7
5159,28,2,6,6,6,7,7,5,6,6,7
5165,33,2,1,7,1,3,5,1,5,4,1
5166,29,1,7,7,7,7,6,1,7,6,4
5167,26,2,7,7,7,7,7,7,7,7,7
5168,17,2,7,7,7,7,7,6,7,7,7
5169,22,2,7,7,7,7,7,7,7,7,7
5170,28,2,7,7,7,7,7,7,7,7,7
5171,29,1,7,7,7,7,7,7,7,7,7
5176,36,2,6,7,5,7,7,6,7,6,7
5177,52,2,7,7,7,7,7,7,7,7,7
5178,50,1,7,7,7,7,7,7,7,7,7
5179,58,1,7,7,7,7,7,7,7,7,7
5180,41,1,6,6,7,6,6,6,6,6,6
5181,38,2,7,7,7,7,7,7,7,7,7
5182,40,2,7,7,7,7,7,7,7,7,7
5191,27,1,7,7,7,7,7,7,7,7,7
5192,47,2,7,7,7,7,7,7,7,7,7
5193,31,1,7,7,6,7,7,7,7,7,7
5194,21,2,4,7,4,4,7,4,5,5,4
5195,24,2,7,7,7,7,7,6,7,7,7
5196,25,1,7,7,7,7,7,7,7,7,7
5198,36,1,7,7,7,7,7,7,7,7,7
5199,32,2,7,7,7,7,7,7,7,7,7
5202,30,1,7,7,7,7,7,7,7,7,2
5203,57,1,7,7,7,7,7,7,7,7,7
5204,45,2,7,7,7,7,7,7,7,7,7
5206,37,1,7,7,7,7,7,7,7,7,7
5220,44,1,7,7,7,7,7,7,7,7,7
5221,26,2,7,7,7,7,7,7,7,7,7
5222,71,2,6,6,7,7,7,7,7,7,7
5223,28,2,5,7,5,5,7,6,7,7,5
5225,27,2,7,7,7,7,7,6,6,7,7
5226,,2,7,7,7,7,7,7,7,7,7
5227,42,2,7,7,7,7,7,7,7,7,7
5228,36,2,7,7,7,7,7,7,7,7,7
5229,70,2,7,5,7,7,5,,6,6,6
5230,56,1,7,7,7,7,7,7,7,7,7
5231,56,2,7,7,7,7,7,7,7,7,7
5232,23,1,7,7,7,7,7,7,7,7,7
5233,29,1,7,7,7,7,7,7,7,7,7
5241,,,7,7,7,7,7,7,7,7,7
5242,47,2,7,7,7,7,7,7,7,7,7
5244,24,1,7,7,6,5,6,3,5,3,4
5245,21,2,7,7,7,7,7,7,7,7,7
5246,39,1,6,6,6,6,6,7,7,7,6
5247,22,1,6,7,7,5,7,7,7,7,5
5248,34,1,7,7,7,7,7,7,7,7,7
5249,27,2,7,7,7,7,7,4,5,6,7
5250,50,2,7,7,7,7,7,7,7,7,7
5251,29,1,7,7,7,7,7,7,7,7,7
5252,49,2,7,7,7,7,7,7,7,7,7
5253,62,1,7,7,7,7,7,7,7,7,2
5254,37,2,7,7,7,7,7,7,7,7,7
5255,26,2,7,7,7,6,7,4,4,7,7
5259,48,2,7,7,7,5,5,5,5,5,5
5260,73,2,6,7,6,5,4,4,4,5,6
5261,47,2,7,7,7,7,7,7,7,7,7
5262,43,2,7,7,7,7,7,7,7,7,6
5263,61,2,6,7,7,6,6,5,7,7,5
5264,29,2,7,7,7,7,7,7,7,7,7
5265,24,2,6,6,7,7,6,7,5,7,6
5266,37,1,6,7,7,7,6,6,7,6,7
5267,38,1,7,7,7,7,7,7,7,7,7
5268,53,1,5,7,6,5,5,4,7,6,5
5269,28,2,6,7,7,6,7,6,7,6,6
5270,44,2,7,7,7,6,7,6,7,6,6
5271,29,1,5,5,4,5,4,6,6,7,7
5272,26,2,7,7,7,7,6,3,7,7,6
5273,51,2,7,6,7,5,5,6,6,7,7
5274,32,1,7,7,7,7,7,7,7,7,6
5275,28,2,7,7,7,7,6,7,7,7,7
5276,28,2,7,7,7,4,6,5,7,7,1
