pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
5001,54,2,4,4,6,6,6,6,4,5,4
5002,34,2,7,7,7,7,7,5,4,7,7
5003,29,2,7,7,7,7,7,7,5,7,7
5005,40,1,4,5,5,4,6,4,4,4,4
5006,38,2,7,6,7,7,6,5,7,7,7
5008,20,2,7,7,7,7,7,6,7,7,7
5009,40,2,1,7,1,1,7,7,7,7,1
5010,28,2,7,7,7,7,7,6,6,6,7
5012,35,1,5,7,5,7,7,7,7,7,5
5013,32,2,7,7,7,7,7,4,7,7,7
5014,39,1,7,7,7,7,7,4,7,7,7
5015,33,2,7,7,7,7,7,7,7,7,7
5016,25,1,7,7,7,7,7,6,6,7,7
5017,23,1,7,7,7,7,7,6,6,7,7
5018,54,2,6,7,7,7,7,6,6,7,7
5019,43,2,7,7,7,7,7,7,7,7,7
5020,48,2,7,7,7,7,7,7,7,7,7
5022,58,1,7,7,7,7,7,7,7,7,7
5023,40,1,7,7,7,7,7,7,7,7,7
5024,34,1,6,7,7,7,6,7,7,6,6
5025,37,2,7,7,7,7,7,7,7,7,7
5026,21,1,7,7,7,7,7,7,7,7,7
5027,27,1,7,7,7,7,7,7,7,7,7
5028,24,2,7,7,7,7,7,7,7,7,7
5029,30,1,7,7,7,7,7,7,7,7,7
5033,25,2,7,7,7,7,7,7,6,7,7
5034,33,2,7,7,7,7,7,7,7,7,4
5035,27,2,7,7,7,7,7,7,7,7,7
5036,56,1,7,7,7,7,7,6,6,6,6
5037,52,2,7,7,7,7,7,7,7,7,7
5041,49,1,7,7,7,7,6,5,6,7,7
5047,52,1,7,7,7,7,7,7,7,7,7
5048,29,1,7,7,7,7,7,7,7,7,7
5051,64,1,7,7,7,7,7,7,7,7,7
5052,39,1,7,7,7,7,7,7,7,7,7
5054,33,2,7,7,7,7,7,7,7,7,7
5055,59,2,7,7,7,7,7,7,7,7,7
5056,34,2,7,7,7,7,7,7,7,7,7
5057,52,1,7,7,7,7,7,5,7,5,7
5058,,2,7,7,7,7,7,5,5,7,6
5059,38,2,7,7,7,7,7,7,7,7,7
5060,24,2,7,7,7,7,7,7,7,7,7
5061,48,2,7,7,7,7,7,7,7,7,7
5062,34,2,6,6,7,7,7,6,6,7,6
