pid,Edad,Genero,idc1,idc2,idc3,idc4,idc5,idc6,idc7,idc8,idc9
5206,37,1,4,4,4,4,4,2,2,2,1
5220,44,1,4,4,,,4,3,,,
5221,26,2,7,7,7,7,7,7,7,7,7
5222,71,2,7,7,7,7,7,7,6,7,6
5223,28,2,4,4,5,4,5,4,4,4,4
5225,27,2,1,3,2,2,1,1,1,1,1
5226,,2,7,7,7,7,7,7,7,7,7
5227,42,2,7,7,7,7,7,6,7,6,7
5228,36,2,7,7,7,7,7,3,7,7,7
5229,70,2,7,7,7,7,7,7,7,7,7
5230,56,1,7,7,7,7,7,7,7,7,7
5231,56,2,7,7,7,7,7,7,7,7,7
5232,23,1,7,7,7,7,7,7,7,7,7
5233,29,1,7,7,7,7,7,6,7,7,7
5241,,,7,7,7,7,7,7,7,7,7
5242,47,2,7,7,7,7,6,6,7,7,6
5244,24,1,7,7,7,5,5,7,6,4,7
5245,21,2,7,7,7,7,7,7,7,7,7
5246,39,1,7,7,7,7,7,7,7,7,7
5247,22,1,7,5,7,7,7,5,7,7,6
5248,34,1,1,7,7,1,4,1,7,4,7
5249,27,2,7,7,7,7,7,4,5,6,7
5250,50,2,7,7,7,7,7,7,7,7,7
5251,29,1,7,7,7,7,7,4,4,7,7
5252,49,2,7,7,7,7,7,7,7,7,7
5253,62,1,7,7,7,7,7,7,7,7,2
5254,37,2,7,7,7,7,7,6,6,6,6
5255,26,2,7,7,7,4,7,5,4,7,7
5259,48,2,7,7,7,5,6,5,5,6,7
5260,73,2,7,7,7,7,7,6,6,6,7
5261,47,2,7,7,7,7,7,7,7,7,7
5262,43,2,7,6,6,6,5,5,6,6,6
5263,61,2,7,7,7,7,7,6,7,7,6
5264,29,2,4,7,7,7,6,5,6,7,7
5265,24,2,7,7,7,7,7,5,5,7,6
5266,37,1,7,7,7,7,5,6,6,6,6
5267,38,1,7,7,7,7,7,7,7,7,7
5268,53,1,1,2,1,1,1,1,1,1,1
5269,28,2,7,7,7,7,7,7,7,7,7
5270,44,2,7,7,7,7,7,6,7,7,7
5271,29,1,7,7,7,7,7,7,7,7,7
5272,26,2,1,2,3,1,1,1,2,1,1
5273,51,2,7,3,7,1,2,3,6,7,7
5274,32,1,5,7,1,5,7,2,4,4,4
5275,28,2,7,7,7,7,5,6,7,7,7
5276,28,2,7,7,7,7,7,5,7,7,7
5277,61,1,7,7,7,7,7,7,7,7,7
5278,50,2,7,7,7,7,,5,7,7,7
5160,51,2,7,7,7,7,7,7,7,7,7
5161,59,1,7,7,7,7,7,7,7,7,7
5162,26,2,5,5,7,5,5,5,5,6,3
5163,30,1,4,4,4,4,3,4,4,4,1
5172,51,2,7,7,7,7,7,7,7,7,
5173,50,2,7,7,7,7,7,7,7,7,6
5174,39,2,1,5,1,1,1,1,5,1,5
5175,50,2,7,7,7,7,7,4,7,6,7
5183,39,2,5,5,7,5,5,5,5,5,5
5184,20,2,7,6,7,4,5,5,6,5,6
5185,24,1,7,6,7,4,5,5,6,5,6
5187,78,1,6,7,5,6,7,5,7,7,5
5205,36,2,5,6,5,5,5,5,5,5,5
5207,56,1,7,7,7,7,7,7,7,7,7
5209,31,2,7,7,7,7,7,7,7,7,7
5210,49,2,7,7,7,7,5,5,5,7,7
5211,39,2,5,5,4,4,4,3,5,4,4
5212,54,2,7,7,7,7,7,6,7,7,6
5213,29,1,5,5,7,5,3,2,6,5,2
5214,26,2,6,5,5,6,6,2,5,5,4
5208,26,2,4,6,7,4,4,4,6,6,6
5215,19,2,4,6,7,5,6,4,7,5,6
5216,18,2,4,4,5,4,4,3,6,5,2
5217,32,2,7,5,7,6,6,4,6,6,6
5218,33,1,1,3,3,3,6,1,2,2,1
5219,48,2,6,7,7,7,6,6,6,6,5
5280,78,1,7,7,7,7,7,7,7,7,7
5281,70,2,7,7,7,7,7,7,7,7,7
5282,66,1,7,7,7,7,7,1,7,7,7
5283,23,1,2,5,1,1,3,3,4,4,5
5284,28,1,7,7,7,7,6,6,7,6,6
5285,18,1,7,7,7,7,5,3,6,7,6
5286,60,1,4,6,7,7,7,4,7,7,4
5287,25,2,7,2,7,1,5,1,4,6,6
5288,49,2,7,7,7,7,6,1,3,7,3
5289,54,1,7,7,7,7,7,7,7,7,7
5290,59,2,7,6,6,5,5,5,5,5,7
5291,60,2,7,7,7,7,7,7,7,7,7
5292,30,2,6,7,7,7,6,6,6,6,6
5293,23,2,5,4,7,4,3,2,4,3,5
5294,43,2,1,1,1,1,3,2,1,1,1
5295,38,2,7,4,7,5,5,4,5,7,7
5296,48,2,7,7,7,7,7,6,7,6,6
5297,29,2,7,6,7,7,7,6,7,7,4
5298,27,2,7,7,7,7,7,7,7,7,7
5299,28,2,5,7,7,6,6,4,6,5,5
