est,fol,pid,sex,age,id1,id2,id3,id4,id5,id6,id7,id8,id9
20000,1,20001,1,23,4,4,4,2,4,2,3,5,5
20000,2,20002,1,18,4,3,4,3,3,3,3,4,3
20000,3,20003,1,26,5,5,5,5,4,4,5,5,5
20000,4,20004,1,22,4,5,5,5,4,4,4,4,5
20000,5,20005,1,20,2,3,4,1,3,1,4,2,1
20000,6,20006,1,18,5,5,5,4,5,4,4,4,5
20000,7,20007,1,18,5,5,5,5,5,3,5,5,5
20000,9,20009,1,18,3,5,1,2,4,2,3,2,2
20000,19,20019,1,19,3,3,5,3,4,4,5,3,1
20000,21,20021,1,19,5,5,5,4,4,3,4,5,4
20000,22,20022,1,21,3,5,5,4,3,3,4,3,1
20000,24,20024,1,23,4,5,5,4,4,4,4,4,4
20000,33,20033,1,28,3,5,4,4,4,3,4,4,2
20000,34,20034,1,21,4,4,5,4,4,3,3,4,5
20000,35,20035,1,20,4,5,5,4,4,3,4,4,4
20000,36,20036,1,24,4,3,5,4,3,2,3,3,4
20000,38,20038,1,21,4,5,5,1,5,1,1,3,3
20000,40,20040,1,19,5,5,5,5,5,4,4,5,5
20000,41,20041,1,19,4,1,4,3,3,2,4,4,3
20000,42,20042,1,26,5,5,5,3,3,3,5,4,3
20000,43,20043,1,21,5,4,5,5,5,4,4,5,5
20000,46,20046,1,20,4,4,4,4,4,3,4,4,3
20000,53,20053,1,26,2,5,3,3,4,3,5,4,3
20000,54,20054,1,30,4,4,4,4,4,4,4,4,4
20000,56,20056,1,19,4,4,4,4,4,4,4,4,3
20000,57,20057,1,19,5,5,5,5,5,5,5,5,5
20000,65,20065,1,19,5,5,5,5,5,5,5,5,5
20000,72,20072,1,21,5,4,5,4,4,3,4,4,2
20000,73,20073,1,18,5,5,5,4,4,4,4,4,3
20000,77,20077,1,19,5,5,5,4,5,4,5,5,4
20000,79,20079,1,20,5,5,5,5,5,4,5,5,5
20000,81,20081,1,18,3,3,3,3,3,3,4,4,3
20000,87,20087,1,18,5,5,5,4,4,3,4,4,3
20000,88,20088,1,22,3,5,3,3,4,2,4,3,1
20000,89,20089,1,18,4,5,5,4,5,5,4,4,5
20000,90,20090,1,18,4,5,5,4,3,3,3,4,4
20000,92,20092,1,19,5,5,5,3,3,3,4,4,4
20000,93,20093,1,19,5,5,5,4,3,3,4,5,3
20000,94,20094,1,18,4,4,5,4,4,4,3,4,5
20000,97,20097,1,18,4,4,4,4,4,3,4,4,3
20000,100,20100,1,20,4,5,4,4,4,4,4,4,4
20000,102,20102,1,23,4,4,5,3,3,2,4,4,3
20000,108,20108,1,18,5,5,5,5,5,5,5,5,5
20000,112,20112,1,20,5,5,5,5,5,4,4,4,5
20000,125,20125,1,25,4,3,4,3,3,3,3,3,3
20000,129,20129,1,18,3,3,3,2,1,1,3,2,1
20000,131,20131,1,18,3,3,3,3,3,3,3,3,2
20000,137,20137,1,22,4,5,5,3,4,3,5,4,3
20000,152,20152,1,18,4,4,4,4,4,4,3,4,3
20000,163,20163,1,47,4,4,4,4,4,4,4,4,3
20000,168,20168,1,21,4,5,5,5,5,4,4,5,4
20000,172,20172,1,23,5,4,5,4,5,4,4,4,3
20000,178,20178,1,64,4,4,4,3,3,3,4,4,3
20000,180,20180,1,30,4,4,4,4,4,4,4,4,4
20000,181,20181,1,22,4,4,4,3,3,2,3,4,3
