pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
1127,23,0,4,5,5,5,5,5,4,5,3
1128,18,0,4,5,5,4,4,3,4,4,3
1129,18,1,3,3,3,2,1,1,3,2,1
1130,19,0,5,5,5,5,5,5,5,5,5
1131,18,1,3,3,3,3,3,3,3,3,2
1132,19,0,4,4,4,4,4,3,4,4,4
1133,18,0,5,5,5,5,5,5,5,5,5
1134,22,0,5,5,5,4,4,3,4,4,5
1135,20,0,3,4,3,4,5,3,4,4,5
1136,20,0,4,3,3,3,4,3,4,4,2
1137,22,1,4,5,5,3,4,3,5,4,3
1138,21,0,5,5,5,5,5,5,5,5,5
1139,20,0,5,5,5,5,5,5,5,5,5
1140,21,0,5,5,5,3,4,3,5,5,3
1141,25,0,5,5,5,5,5,5,5,5,5
1142,38,0,5,5,5,5,5,5,5,5,5
1143,18,0,4,5,5,4,4,4,4,5,3
1144,20,0,4,4,5,4,4,2,4,4,3
1145,19,0,5,5,5,5,5,5,5,5,5
1146,19,0,5,5,5,5,4,5,5,5,4
1147,23,0,5,3,5,3,3,3,5,5,5
1148,18,0,5,5,5,5,5,4,5,5,5
1149,19,0,5,5,5,3,4,4,4,4,5
1150,18,0,5,5,5,5,5,3,5,5,3
1151,18,0,5,5,5,5,5,4,5,5,5
1152,18,1,4,4,4,4,4,4,3,4,3
1153,18,0,4,5,5,4,4,4,3,4,4
1154,18,0,5,5,5,5,4,4,5,5,4
1155,22,0,4,4,5,5,4,3,4,5,5
1156,18,0,5,5,5,3,5,3,5,5,4
1157,23,0,5,5,5,5,5,3,5,5,5
1158,18,0,5,4,5,4,4,4,4,5,5
1159,22,0,5,5,5,5,5,4,5,5,5
1160,18,0,4,5,3,1,4,2,4,3,3
1161,38,0,5,5,5,5,4,4,4,5,4
1162,24,0,5,5,5,5,5,3,5,5,3
1163,47,1,4,4,4,4,4,4,4,4,3
1164,33,0,5,5,5,5,5,4,5,5,5
1165,51,0,5,5,5,5,5,5,5,5, 
1166,44,0,1,5,3,1,4,3,5,5,3
1167,31,0,5,5,5,5,4,4,5,5,4
1168,21,1,4,5,5,5,5,4,4,5,4
1169,24,0,4,4,4,4,4,4,4,4,4
1170,20,0,5,4,5,5,5,3,5,5,3
1171,23,0,5,5,5,5,5,5,3,5,5
1172,23,1,5,4,5,4,5,4,4,4,3
1173,19,0,2,2,2,2,2,1,4,2,1
1174,20,0,5,5,5,5,5,5,5,5,5
1175,19,0,4,5,3,3,5,4,5,5,3
1176,20,0,5,5,5,4,4,3,5,5,5
1177,18,0,5,5,5,5,5,5,5,5,5
1178,64,1,4,4,4,3,3,3,4,4,3
1179,28,0,4,5,5,5,5,5,5,5,4
1180,30,1,4,4,4,4,4,4,4,4,4
1181,22,1,4,4,4,3,3,2,3,4,3
1182,22,0,5,5,5,3,4,3,5,4,3
1183,21,0,3,4,4,3,3,1,3,3,3
1184,29,0,4,5,5,5,5,5,5,5,2
1185,50,0,5,5,1,5,5,1,5,5,1
1186,22,1,5,4,5,5,4,5,5,5,4
1187,60,0,5,5,5,5,4,4,5,5,4
1188,50,0,5,5,5,5,5,3,4,4,5
1189,40,0,5,4,5,5,5,5,5,5,3
1190,27,0,5,5,5,5,5,3,5,5,5
1191,25,0,5,5,5,5,5,5,5,5,5
1192,30,0,5,5,5,5,5,4,5,5,4
1193,23,1,4,4,4,3,4,3,4,4,4
1194,22,0,5,5,5,5,5,4,5,5,5
1195,22,0,5,5,5,5,5,4,5,5,5
1196,23,0,3,4,4,4,3,3,4,4,3
1197,21,0,4,4,5,3,3,2,4,4,1
1198,20,0,4,3,4,3,3,3,3,4,2
1199,21,1,4,4,4,3,3,3,4,4,3
